global_step,1776624639-grad-compression=none - charts/episodic_return,1776628684-grad-compression=accumulate-grads - charts/episodic_return,1776636519-grad-compression=accumulate-grads - charts/episodic_return
387569,,561.53845,
388375,309.0909,,
388552,,,510.1695
388570,,298.6014,
389376,496.875,,
389553,,,603.82166
389571,,171.875,
390377,896.61017,,
390554,,,389.29663
390572,,174.57628,
391378,476.43314,,
391555,,,339.25235
391573,,393.63058,
392379,273.08868,,
392556,,,448.8722
392574,,279.2049,
392960,153.62648,,
393557,,,647.6038
393575,,208.41121,
393961,482.70676,,
394558,,,592.0415
394576,,396.2406,
394962,379.23322,,
395559,,,513.2404
395577,,267.41214,
395963,394.8097,,
396560,,,240.42554
396578,,252.94118,
396964,398.25784,,
397561,,,574.2671
397579,,631.70734,
397965,456.73758,,
398562,,,615.82733
398580,,385.8156,
398966,196.41693,,
399563,,,379.7048
399581,,414.658,
399967,320.8633,,
400564,,,285.3503
400582,,317.26617,
400968,376.01477,,
401565,,,287.68115
401583,,117.71217,
401969,536.9427,,
402566,,,301.99335
402584,,266.24203,
402970,44.927536,,
403567,,,366.23795
403585,,389.13043,
403971,335.21594,,
404568,,,146.62163
404586,,255.48172,
404972,272.99036,,
405569,,,257.79816
405587,,256.91318,
405973,447.2973,,
406570,,,299.36102
406588,,180.40541,
406974,722.62994,,
407571,,,163.1579
407589,,447.4006,
407975,334.5048,,
408572,,,361.83206
408590,,184.34505,
408976,555.2632,,
409573,,,272.88135
409591,,160.52632,
409977,854.1985,,
410574,,,370.1195
410592,,281.67938,
410838,,,43.350174
410978,503.38983,,
411593,,215.25424,
411839,,,423.25583
411979,860.15936,,
412594,,326.29483,
412840,,,803.2258
412980,370.58823,,
413595,,152.59515,
413841,,,734.5865
413981,438.7597,,
414596,,407.75195,
414842,,,440
414982,545.1613,,
415597,,380.28674,
415843,,,437.594
415983,629.3233,,
416598,,309.77444,
416844,,,248.27586
416984,263.33334,,
417599,,276.66666,
417845,,,360.43164
417985,858.6466,,
418600,,448.8722,
418846,,,316.38226
418986,293.10345,,
419601,,255.17241,
419847,,,780.43475
419987,623.0216,,
420602,,727.33813,
420848,,,446.66666
420931,905.7,,
421603,,715.69965,
421849,,,633.8129
421932,787.68115,,
422604,,432.6087,
422850,,,209.27835
422933,374.66666,,
423605,,438.66666,
423851,,,245.86465
423934,853.2374,,
424606,,777.6978,
424852,,,290.84506
424935,460.13745,,
425607,,226.46048,
425853,,,671.8121
425936,896.2406,,
426608,,854.8872,
426854,,,408.96057
426937,276.76056,,
427609,,516.1972,
427855,,,254.0856
427938,517.44965,,
428610,,265.77182,
428856,,,325.78125
428939,828.3154,,
429611,,351.6129,
429857,,,482.14285
429940,794.94165,,
430612,,300.7782,
430858,,,344.44446
430941,388.28125,,
431613,,376.5625,
431859,,,291.30435
431942,439.2857,,
432614,,525,
432860,,,241.63701
432943,486.2069,,
433615,,382.7586,
433861,,,546.8647
433944,454.34784,,
434616,,700.7246,
434862,,,455.98456
434945,718.5053,,
435617,,394.66193,
435863,,,441.91617
435946,817.49176,,
436618,,292.7393,
436864,,,288.31616
436947,548.6486,,
437619,,301.5444,
437865,,,251.26582
437948,271.25748,,
438363,,,13.824124
438620,,241.31737,
438949,363.9175,,
439364,,,746.9751
439621,,353.60825,
439950,687.9747,,
440365,,,244.94774
440622,,251.26582,
440677,-12.966926,,
441366,,,196.41693
441623,,67.31518,
441678,373.3096,,
442367,,,300
442624,,383.98578,
442679,293.7282,,
443368,,,225.34247
443625,,210.10452,
443680,434.20197,,
444369,,,234.58647
444626,,53.094463,
444681,509.67743,,
445370,,,290.5724
445627,,258.0645,
445682,718.49316,,
446371,,,209.76431
446628,,540.41095,
446683,80.451126,,
447372,,,457.32483
447629,,61.654137,
447684,293.9394,,
448373,,,467.39813
448573,-20.349833,,
448630,,38.04714,
449374,,,613.78094
449574,349.0446,,
449631,,54.882156,
450375,,,313.53384
450575,320.06268,,
450632,,527.38855,
451058,,,12.112014
451576,483.03888,,
451633,,501.8809,
452059,,,552.4823
452577,433.8346,,
452634,,546.6431,
453060,,,340.89456
453578,437.10248,,
453635,,441.3534,
454061,,,609.92365
454314,,12.512014,
454579,758.156,,
455062,,,568.8103
455315,,364.539,
455580,289.77637,,
456063,,,317.29324
456316,,280.19168,
456581,873.2825,,
457064,,,491.5493
457317,,487.78625,
457582,385.53055,,
458065,,,483.60657
458318,,182.9582,
458583,587.9699,,
459066,,,578.9668
459319,,313.53384,
459584,382.39438,,
460067,,,828.0822
460320,,276.76056,
460585,83.60656,,
460943,,24.785246,
461068,,,750
461586,556.82654,,
461944,,316.97418,
462069,,,199.70326
462587,273.28766,,
462945,,283.56165,
463070,,,553.5948
463588,707.1429,,
463946,,217.85715,
464071,,,204.34782
464589,398.51633,,
464947,,33.53116,
465072,,,398.19495
465590,331.37256,,
465948,,203.92157,
466073,,,772.85223
466339,234.72029,,
466949,,396.3768,
467074,,,556.25
467340,253.79062,,
