"Step","1779039473-grad-compression=accumulate-grads - charts/calculated_data_transfer_total_mb","1779039473-grad-compression=accumulate-grads - charts/calculated_data_transfer_total_mb__MIN","1779039473-grad-compression=accumulate-grads - charts/calculated_data_transfer_total_mb__MAX","1778997949-grad-compression=accumulate-grads - charts/calculated_data_transfer_total_mb","1778997949-grad-compression=accumulate-grads - charts/calculated_data_transfer_total_mb__MIN","1778997949-grad-compression=accumulate-grads - charts/calculated_data_transfer_total_mb__MAX","1778988573-grad-compression=none - charts/calculated_data_transfer_total_mb","1778988573-grad-compression=none - charts/calculated_data_transfer_total_mb__MIN","1778988573-grad-compression=none - charts/calculated_data_transfer_total_mb__MAX"
"2527","32308.508","32308.508","32308.508","32308.508","32308.508","32308.508","32308.508","32308.508","32308.508"
"2538","32452.742","32452.742","32452.742","32452.742","32452.742","32452.742","32452.742","32452.742","32452.742"
"2549","32596.977","32596.977","32596.977","32596.977","32596.977","32596.977","32596.977","32596.977","32596.977"
"2560","32741.21","32741.21","32741.21","32741.21","32741.21","32741.21","32741.21","32741.21","32741.21"
"2571","32885.445","32885.445","32885.445","32885.445","32885.445","32885.445","32885.445","32885.445","32885.445"
"2582","33029.68","33029.68","33029.68","33029.68","33029.68","33029.68","33029.68","33029.68","33029.68"
"2593","33173.914","33173.914","33173.914","33173.914","33173.914","33173.914","33173.914","33173.914","33173.914"
"2604","33318.15","33318.15","33318.15","33318.15","33318.15","33318.15","33318.15","33318.15","33318.15"
"2615","33462.383","33462.383","33462.383","33462.383","33462.383","33462.383","33462.383","33462.383","33462.383"
"2626","33606.617","33606.617","33606.617","33606.617","33606.617","33606.617","33606.617","33606.617","33606.617"
"2637","33750.85","33750.85","33750.85","33750.85","33750.85","33750.85","33750.85","33750.85","33750.85"
"2656","33895.086","33895.086","33895.086","33895.086","33895.086","33895.086","33895.086","33895.086","33895.086"
